product_id,material_id,qty_per_unit
P001,M01,1.26
P001,M02,0.945
P001,M03,0.63
P001,M04,0.0675
P001,M05,0.27
P001,M06,0.9
P001,M08,0.45
P001,M07,2.0
P001,M10,1.0
P001,M11,1.0
P001,M12,1.0
P002,M01,1.68
P002,M02,1.26
P002,M03,0.84
P002,M04,0.09
P002,M05,0.36
P002,M06,1.2
P002,M08,0.6
P002,M07,2.0
P002,M10,1.0
P002,M11,1.0
P002,M12,1.0
P003,M01,1.96
P003,M02,1.47
P003,M03,0.98
P003,M04,0.105
P003,M05,0.42
P003,M06,1.4
P003,M08,0.7
P003,M07,2.0
P003,M10,1.0
P003,M11,1.0
P003,M12,1.0
P004,M01,2.464
P004,M02,1.848
P004,M03,1.232
P004,M04,0.132
P004,M05,0.528
P004,M06,1.76
P004,M08,0.88
P004,M07,2.0
P004,M10,1.0
P004,M11,1.0
P004,M12,1.0
P005,M01,2.8
P005,M02,2.1
P005,M03,1.4
P005,M04,0.15
P005,M05,0.6
P005,M06,2.0
P005,M08,1.0
P005,M07,2.0
P005,M10,1.0
P005,M11,1.0
P005,M12,1.0
P006,M01,0.119
P006,M02,0.08925
P006,M03,0.0595
P006,M04,0.00637
P006,M05,0.0255
P006,M06,0.085
P006,M08,0.0425
P006,M07,2.0
P006,M10,1.0
P006,M11,1.0
P006,M12,1.0
P007,M01,0.2142
P007,M02,0.16065
P007,M03,0.1071
P007,M04,0.01147
P007,M05,0.0459
P007,M06,0.153
P007,M08,0.0765
P007,M07,2.0
P007,M10,1.0
P007,M11,1.0
P007,M12,1.0
P008,M01,0.2856
P008,M02,0.2142
P008,M03,0.1428
P008,M04,0.0153
P008,M05,0.0612
P008,M06,0.204
P008,M08,0.102
P008,M07,2.0
P008,M10,1.0
P008,M11,1.0
P008,M12,1.0
P009,M01,0.2254
P009,M02,0.16905
P009,M03,0.1127
P009,M04,0.01208
P009,M05,0.0483
P009,M06,0.161
P009,M08,0.0805
P009,M07,2.0
P009,M10,1.0
P009,M11,1.0
P009,M12,1.0
P010,M01,0.5796
P010,M02,0.4347
P010,M03,0.2898
P010,M04,0.03105
P010,M05,0.1242
P010,M06,0.414
P010,M08,0.207
P010,M07,2.0
P010,M10,1.0
P010,M11,1.0
P010,M12,1.0
P011,M01,3.22
P011,M02,2.415
P011,M03,1.61
P011,M04,0.1725
P011,M05,0.69
P011,M06,2.3
P011,M08,1.15
P011,M07,2.0
P011,M10,1.0
P011,M11,1.0
P011,M12,1.0
P012,M01,6.44
P012,M02,4.83
P012,M03,3.22
P012,M04,0.345
P012,M05,1.38
P012,M06,4.6
P012,M08,2.3
P012,M07,2.0
P012,M10,1.0
P012,M11,1.0
P012,M12,1.0
P013,M01,3.36
P013,M02,2.52
P013,M03,1.68
P013,M04,0.18
P013,M05,0.72
P013,M06,2.4
P013,M08,1.2
P013,M07,2.0
P013,M10,1.0
P013,M11,1.0
P013,M12,1.0
P014,M01,5.04
P014,M02,3.78
P014,M03,2.52
P014,M04,0.27
P014,M05,1.08
P014,M06,3.6
P014,M08,1.8
P014,M07,2.0
P014,M10,1.0
P014,M11,1.0
P014,M12,1.0
P015,M01,6.72
P015,M02,5.04
P015,M03,3.36
P015,M04,0.36
P015,M05,1.44
P015,M06,4.8
P015,M08,2.4
P015,M07,2.0
P015,M10,1.0
P015,M11,1.0
P015,M12,1.0
P015,M09,3.6
P016,M01,3.36
P016,M02,2.52
P016,M03,1.68
P016,M04,0.18
P016,M05,0.72
P016,M06,2.4
P016,M08,1.2
P016,M07,2.0
P016,M10,1.0
P016,M11,1.0
P016,M12,1.0
P017,M01,7.392
P017,M02,5.544
P017,M03,3.696
P017,M04,0.396
P017,M05,1.584
P017,M06,5.28
P017,M08,2.64
P017,M07,2.0
P017,M10,1.0
P017,M11,1.0
P017,M12,1.0
