activity_id,type,regarding_type,regarding_id,owner,activity_date,duration_minutes
ACT000001,Email,Opportunity,OPP00001,E0009,2025-05-25,
ACT000002,Meeting,Opportunity,OPP00001,E0009,2025-05-24,35.0
ACT000003,Meeting,Opportunity,OPP00001,E0009,2025-05-24,25.0
ACT000004,Email,Opportunity,OPP00001,E0009,2025-05-24,
ACT000005,Email,Opportunity,OPP00001,E0009,2025-05-28,
ACT000006,Email,Opportunity,OPP00001,E0009,2025-05-24,
ACT000007,Meeting,Opportunity,OPP00001,E0009,2025-05-26,9.0
ACT000008,Email,Opportunity,OPP00001,E0009,2025-05-27,
ACT000009,Email,Opportunity,OPP00002,E0085,2024-11-29,
ACT000010,Meeting,Opportunity,OPP00002,E0085,2024-11-14,37.0
ACT000011,Call,Opportunity,OPP00002,E0085,2024-11-12,30.0
ACT000012,Call,Opportunity,OPP00002,E0085,2024-11-14,7.0
ACT000013,Call,Opportunity,OPP00002,E0085,2024-11-14,33.0
ACT000014,Email,Opportunity,OPP00002,E0085,2024-11-12,
ACT000015,Call,Opportunity,OPP00003,E0014,2025-03-04,19.0
ACT000016,Call,Opportunity,OPP00003,E0014,2025-02-21,9.0
ACT000017,Call,Opportunity,OPP00003,E0014,2025-02-14,36.0
ACT000018,Email,Opportunity,OPP00003,E0014,2025-02-10,
ACT000019,Email,Opportunity,OPP00003,E0014,2025-02-26,
ACT000020,Call,Opportunity,OPP00003,E0014,2025-03-03,43.0
ACT000021,Email,Opportunity,OPP00004,E0148,2024-01-22,
ACT000022,Call,Opportunity,OPP00004,E0148,2024-03-05,13.0
ACT000023,Call,Opportunity,OPP00004,E0148,2024-02-28,44.0
ACT000024,Call,Opportunity,OPP00005,E0028,2024-12-11,36.0
ACT000025,Task,Opportunity,OPP00005,E0028,2024-09-16,
ACT000026,Email,Opportunity,OPP00005,E0028,2025-01-13,
ACT000027,Meeting,Opportunity,OPP00005,E0028,2024-12-15,25.0
ACT000028,Email,Opportunity,OPP00005,E0028,2024-10-25,
ACT000029,Meeting,Opportunity,OPP00005,E0028,2024-12-26,19.0
ACT000030,Call,Opportunity,OPP00005,E0028,2024-12-02,17.0
ACT000031,Email,Opportunity,OPP00006,E0052,2025-01-22,
ACT000032,Call,Opportunity,OPP00006,E0052,2025-01-13,26.0
ACT000033,Meeting,Opportunity,OPP00006,E0052,2024-12-07,20.0
ACT000034,Meeting,Opportunity,OPP00006,E0052,2024-12-25,8.0
ACT000035,Call,Opportunity,OPP00006,E0052,2024-12-19,32.0
ACT000036,Email,Opportunity,OPP00007,E0059,2025-09-23,
ACT000037,Email,Opportunity,OPP00007,E0059,2025-07-12,
ACT000038,Call,Opportunity,OPP00007,E0059,2025-08-10,32.0
ACT000039,Call,Opportunity,OPP00007,E0059,2025-07-04,29.0
ACT000040,Email,Opportunity,OPP00007,E0059,2025-07-16,
ACT000041,Call,Opportunity,OPP00007,E0059,2025-10-04,25.0
ACT000042,Call,Opportunity,OPP00007,E0059,2025-09-26,36.0
ACT000043,Email,Opportunity,OPP00007,E0059,2025-07-15,
ACT000044,Call,Opportunity,OPP00008,E0032,2025-04-02,35.0
ACT000045,Meeting,Opportunity,OPP00008,E0032,2025-04-10,17.0
ACT000046,Email,Opportunity,OPP00008,E0032,2025-05-13,
ACT000047,Task,Opportunity,OPP00008,E0032,2025-05-31,
ACT000048,Email,Opportunity,OPP00008,E0032,2025-04-03,
ACT000049,Email,Opportunity,OPP00008,E0032,2025-04-18,
ACT000050,Call,Opportunity,OPP00009,E0014,2024-11-08,23.0
ACT000051,Call,Opportunity,OPP00009,E0014,2024-11-18,14.0
ACT000052,Call,Opportunity,OPP00009,E0014,2024-11-13,14.0
ACT000053,Email,Opportunity,OPP00009,E0014,2024-11-21,
ACT000054,Meeting,Opportunity,OPP00010,E0009,2024-02-15,11.0
ACT000055,Task,Opportunity,OPP00010,E0009,2024-01-26,
ACT000056,Call,Opportunity,OPP00011,E0014,2025-09-07,14.0
ACT000057,Email,Opportunity,OPP00011,E0014,2025-08-19,
ACT000058,Task,Opportunity,OPP00011,E0014,2025-08-21,
ACT000059,Call,Opportunity,OPP00011,E0014,2025-09-02,42.0
ACT000060,Email,Opportunity,OPP00011,E0014,2025-08-20,
ACT000061,Call,Opportunity,OPP00011,E0014,2025-08-29,27.0
ACT000062,Call,Opportunity,OPP00011,E0014,2025-09-15,16.0
ACT000063,Call,Opportunity,OPP00012,E0148,2024-06-12,17.0
ACT000064,Email,Opportunity,OPP00012,E0148,2024-07-16,
ACT000065,Email,Opportunity,OPP00012,E0148,2024-08-12,
ACT000066,Email,Opportunity,OPP00013,E0122,2025-12-03,
ACT000067,Call,Opportunity,OPP00013,E0122,2025-11-24,16.0
ACT000068,Call,Opportunity,OPP00014,E0057,2025-10-12,13.0
ACT000069,Call,Opportunity,OPP00014,E0057,2025-10-25,22.0
ACT000070,Call,Opportunity,OPP00014,E0057,2025-10-08,36.0
ACT000071,Email,Opportunity,OPP00014,E0057,2025-10-24,
ACT000072,Meeting,Opportunity,OPP00014,E0057,2025-10-24,30.0
ACT000073,Email,Opportunity,OPP00014,E0057,2025-10-03,
ACT000074,Meeting,Opportunity,OPP00014,E0057,2025-10-14,40.0
ACT000075,Meeting,Opportunity,OPP00014,E0057,2025-10-04,17.0
ACT000076,Call,Opportunity,OPP00015,E0173,2024-07-23,19.0
ACT000077,Email,Opportunity,OPP00015,E0173,2024-07-26,
ACT000078,Call,Opportunity,OPP00015,E0173,2024-07-11,18.0
ACT000079,Email,Opportunity,OPP00015,E0173,2024-06-15,
ACT000080,Call,Opportunity,OPP00015,E0173,2024-08-05,9.0
ACT000081,Email,Opportunity,OPP00016,E0057,2026-01-12,
ACT000082,Meeting,Opportunity,OPP00016,E0057,2026-01-14,43.0
ACT000083,Meeting,Opportunity,OPP00016,E0057,2026-01-12,43.0
ACT000084,Email,Opportunity,OPP00016,E0057,2025-12-19,
ACT000085,Email,Opportunity,OPP00016,E0057,2025-12-20,
ACT000086,Meeting,Opportunity,OPP00016,E0057,2026-01-10,12.0
ACT000087,Task,Opportunity,OPP00017,E0059,2024-06-09,
ACT000088,Call,Opportunity,OPP00017,E0059,2024-06-02,37.0
ACT000089,Call,Opportunity,OPP00017,E0059,2024-06-17,31.0
ACT000090,Meeting,Opportunity,OPP00017,E0059,2024-06-02,39.0
ACT000091,Call,Opportunity,OPP00017,E0059,2024-06-22,34.0
ACT000092,Call,Opportunity,OPP00017,E0059,2024-06-28,36.0
ACT000093,Email,Opportunity,OPP00018,E0100,2025-11-04,
ACT000094,Email,Opportunity,OPP00018,E0100,2025-10-17,
ACT000095,Task,Opportunity,OPP00018,E0100,2025-10-24,
ACT000096,Call,Opportunity,OPP00018,E0100,2025-10-16,32.0
ACT000097,Meeting,Opportunity,OPP00018,E0100,2025-10-02,40.0
