date,material_id,transaction_type,quantity
2024-01-01,M01,OnHandSnapshot,897.88
2024-01-02,M01,OnHandSnapshot,897.88
2024-01-03,M01,Consumption,-1.78
2024-01-03,M01,OnHandSnapshot,896.09
2024-01-04,M01,Consumption,-3.21
2024-01-04,M01,OnHandSnapshot,892.88
2024-01-05,M01,OnHandSnapshot,892.88
2024-01-06,M01,Consumption,-154.56
2024-01-06,M01,OnHandSnapshot,738.32
2024-01-07,M01,Consumption,-151.33
2024-01-07,M01,OnHandSnapshot,586.99
2024-01-08,M01,Consumption,-30.24
2024-01-08,M01,OnHandSnapshot,556.75
2024-01-09,M01,Consumption,-110.32
2024-01-09,M01,OnHandSnapshot,446.43
2024-01-10,M01,Receipt,2244.7
2024-01-10,M01,Consumption,-48.72
2024-01-10,M01,OnHandSnapshot,2642.4
2024-01-11,M01,OnHandSnapshot,2642.4
2024-01-12,M01,OnHandSnapshot,2642.4
2024-01-13,M01,OnHandSnapshot,2642.4
2024-01-14,M01,OnHandSnapshot,2642.4
2024-01-15,M01,Consumption,-124.32
2024-01-15,M01,OnHandSnapshot,2518.08
2024-01-16,M01,Consumption,-49.38
2024-01-16,M01,OnHandSnapshot,2468.7
2024-01-17,M01,Consumption,-4.28
2024-01-17,M01,OnHandSnapshot,2464.41
2024-01-18,M01,Consumption,-125.24
2024-01-18,M01,OnHandSnapshot,2339.17
2024-01-19,M01,OnHandSnapshot,2339.17
2024-01-20,M01,Consumption,-3.0
2024-01-20,M01,OnHandSnapshot,2336.17
2024-01-21,M01,Consumption,-54.21
2024-01-21,M01,OnHandSnapshot,2281.96
2024-01-22,M01,Consumption,-115.92
2024-01-22,M01,OnHandSnapshot,2166.04
2024-01-23,M01,OnHandSnapshot,2166.04
2024-01-24,M01,Consumption,-276.71
2024-01-24,M01,OnHandSnapshot,1889.33
2024-01-25,M01,OnHandSnapshot,1889.33
2024-01-26,M01,OnHandSnapshot,1889.33
2024-01-27,M01,OnHandSnapshot,1889.33
2024-01-28,M01,Consumption,-42.0
2024-01-28,M01,OnHandSnapshot,1847.33
2024-01-29,M01,Consumption,-126.56
2024-01-29,M01,OnHandSnapshot,1720.77
2024-01-30,M01,OnHandSnapshot,1720.77
2024-01-31,M01,Consumption,-13.44
2024-01-31,M01,OnHandSnapshot,1707.33
2024-02-01,M01,Consumption,-22.54
2024-02-01,M01,OnHandSnapshot,1684.79
2024-02-02,M01,OnHandSnapshot,1684.79
2024-02-03,M01,OnHandSnapshot,1684.79
2024-02-04,M01,OnHandSnapshot,1684.79
2024-02-05,M01,Consumption,-104.29
2024-02-05,M01,OnHandSnapshot,1580.5
2024-02-06,M01,OnHandSnapshot,1580.5
2024-02-07,M01,Consumption,-54.39
2024-02-07,M01,OnHandSnapshot,1526.11
2024-02-08,M01,Consumption,-132.72
2024-02-08,M01,OnHandSnapshot,1393.39
2024-02-09,M01,OnHandSnapshot,1393.39
2024-02-10,M01,Consumption,-27.51
2024-02-10,M01,OnHandSnapshot,1365.88
2024-02-11,M01,Consumption,-35.28
2024-02-11,M01,OnHandSnapshot,1330.6
2024-02-12,M01,Consumption,-57.12
2024-02-12,M01,OnHandSnapshot,1273.48
2024-02-13,M01,OnHandSnapshot,1273.48
2024-02-14,M01,Consumption,-77.28
2024-02-14,M01,OnHandSnapshot,1196.2
2024-02-15,M01,OnHandSnapshot,1196.2
2024-02-16,M01,Consumption,-86.94
2024-02-16,M01,OnHandSnapshot,1109.26
2024-02-17,M01,Consumption,-177.41
2024-02-17,M01,OnHandSnapshot,931.86
2024-02-18,M01,Receipt,2244.7
2024-02-18,M01,Consumption,-2.0
2024-02-18,M01,OnHandSnapshot,3174.55
2024-02-19,M01,Consumption,-142.79
2024-02-19,M01,OnHandSnapshot,3031.77
2024-02-20,M01,Consumption,-3.21
2024-02-20,M01,OnHandSnapshot,3028.55
2024-02-21,M01,OnHandSnapshot,3028.55
2024-02-22,M01,Consumption,-2.57
2024-02-22,M01,OnHandSnapshot,3025.98
2024-02-23,M01,OnHandSnapshot,3025.98
2024-02-24,M01,Consumption,-4.28
2024-02-24,M01,OnHandSnapshot,3021.7
2024-02-25,M01,Consumption,-3.21
2024-02-25,M01,OnHandSnapshot,3018.49
2024-02-26,M01,Consumption,-3.21
2024-02-26,M01,OnHandSnapshot,3015.27
2024-02-27,M01,Consumption,-114.24
2024-02-27,M01,OnHandSnapshot,2901.03
2024-02-28,M01,Consumption,-59.27
2024-02-28,M01,OnHandSnapshot,2841.76
2024-02-29,M01,OnHandSnapshot,2841.76
2024-03-01,M01,OnHandSnapshot,2841.76
2024-03-02,M01,Consumption,-251.16
2024-03-02,M01,OnHandSnapshot,2590.6
2024-03-03,M01,OnHandSnapshot,2590.6
2024-03-04,M01,OnHandSnapshot,2590.6
2024-03-05,M01,Consumption,-37.8
