lead_id,created_date,source,owner,status,qualified_date,disqualify_reason
LEAD00001,2025-05-01,Web Inquiry,E0096,Disqualified,2025-05-15,No Longer Interested
LEAD00002,2024-03-30,Trade Show,E0089,Disqualified,2024-04-17,No Budget
LEAD00003,2025-08-20,Cold Outreach,E0148,Disqualified,2025-08-31,Wrong Fit
LEAD00004,2024-07-07,Trade Show,E0014,Disqualified,2024-07-13,Wrong Fit
LEAD00005,2025-05-01,Partner Channel,E0009,Qualified,2025-05-13,
LEAD00006,2024-10-23,Cold Outreach,E0100,Qualified,2024-10-30,
LEAD00007,2024-03-05,Trade Show,E0126,Disqualified,2024-03-09,Unresponsive
LEAD00008,2025-12-08,Web Inquiry,E0148,Disqualified,2025-12-21,Wrong Fit
LEAD00009,2025-01-25,Web Inquiry,E0161,Qualified,2025-02-02,
LEAD00010,2024-04-28,Trade Show,E0009,Disqualified,2024-05-06,No Longer Interested
LEAD00011,2025-12-26,Partner Channel,E0099,Open,,
LEAD00012,2025-09-17,Partner Channel,E0172,Disqualified,2025-09-25,Went With Competitor
LEAD00013,2024-01-13,Trade Show,E0119,Qualified,2024-01-17,
LEAD00014,2024-04-29,Referral,E0089,Disqualified,2024-05-09,Unresponsive
LEAD00015,2024-03-14,Cold Outreach,E0059,Disqualified,2024-03-23,No Budget
LEAD00016,2024-09-03,Partner Channel,E0099,Qualified,2024-09-13,
LEAD00017,2024-10-20,Web Inquiry,E0028,Qualified,2024-10-25,
LEAD00018,2025-05-09,Referral,E0032,Disqualified,2025-05-21,No Longer Interested
LEAD00019,2025-06-19,Web Inquiry,E0014,Qualified,2025-06-22,
LEAD00020,2025-03-26,Referral,E0163,Disqualified,2025-04-05,Went With Competitor
LEAD00021,2024-11-18,Trade Show,E0009,Disqualified,2024-12-05,Wrong Fit
LEAD00022,2025-11-28,Partner Channel,E0096,Disqualified,2025-11-30,No Longer Interested
LEAD00023,2024-09-30,Referral,E0096,Disqualified,2024-10-15,Went With Competitor
LEAD00024,2024-10-27,Trade Show,E0085,Disqualified,2024-11-03,Went With Competitor
LEAD00025,2024-10-20,Web Inquiry,E0163,Disqualified,2024-11-08,Wrong Fit
LEAD00026,2025-11-16,Referral,E0059,Disqualified,2025-11-20,Wrong Fit
LEAD00027,2025-12-21,Referral,E0014,Disqualified,2025-12-31,No Longer Interested
LEAD00028,2025-11-07,Trade Show,E0032,Disqualified,2025-11-13,Went With Competitor
LEAD00029,2025-03-04,Partner Channel,E0126,Qualified,2025-03-24,
LEAD00030,2025-06-06,Trade Show,E0161,Disqualified,2025-06-19,No Longer Interested
LEAD00031,2024-10-27,Trade Show,E0032,Qualified,2024-11-01,
LEAD00032,2024-01-15,Web Inquiry,E0100,Qualified,2024-01-18,
LEAD00033,2025-03-07,Cold Outreach,E0161,Disqualified,2025-03-27,No Longer Interested
LEAD00034,2025-08-05,Partner Channel,E0122,Qualified,2025-08-11,
LEAD00035,2024-03-20,Trade Show,E0089,Qualified,2024-03-25,
LEAD00036,2025-10-19,Trade Show,E0122,Qualified,2025-11-03,
LEAD00037,2025-01-31,Cold Outreach,E0059,Disqualified,2025-02-04,Unresponsive
LEAD00038,2025-01-17,Web Inquiry,E0057,Disqualified,2025-02-05,Unresponsive
LEAD00039,2025-09-14,Partner Channel,E0057,Qualified,2025-09-25,
LEAD00040,2024-05-23,Cold Outreach,E0028,Qualified,2024-06-09,
LEAD00041,2025-12-08,Cold Outreach,E0018,Qualified,2025-12-13,
LEAD00042,2024-05-11,Cold Outreach,E0085,Qualified,2024-05-13,
LEAD00043,2025-06-25,Web Inquiry,E0089,Disqualified,2025-07-11,No Budget
LEAD00044,2025-09-09,Cold Outreach,E0014,Qualified,2025-09-27,
LEAD00045,2025-04-21,Cold Outreach,E0089,Disqualified,2025-05-02,Unresponsive
LEAD00046,2024-03-04,Web Inquiry,E0100,Disqualified,2024-03-23,Unresponsive
LEAD00047,2025-05-20,Referral,E0089,Qualified,2025-06-02,
LEAD00048,2025-02-02,Trade Show,E0161,Disqualified,2025-02-09,Wrong Fit
LEAD00049,2025-12-24,Trade Show,E0089,Qualified,2025-12-31,
LEAD00050,2024-05-28,Partner Channel,E0100,Disqualified,2024-06-09,No Longer Interested
LEAD00051,2024-06-09,Referral,E0161,Disqualified,2024-06-22,No Budget
LEAD00052,2024-08-07,Trade Show,E0028,Disqualified,2024-08-14,Went With Competitor
LEAD00053,2025-09-03,Referral,E0096,Disqualified,2025-09-14,Wrong Fit
LEAD00054,2025-12-14,Trade Show,E0018,Qualified,2025-12-31,
LEAD00055,2025-12-07,Trade Show,E0126,Qualified,2025-12-18,
