opportunity_id,account_id,lead_id,owner,product_id,estimated_quantity,created_date,estimated_close_date,stage,probability_pct,status,actual_close_date,actual_value_irr,lose_reason,estimated_value_irr
OPP00001,ACC0016,LEAD00005,E0009,P016,51,2025-05-17,2025-06-09,4-Close,1.0,Won,2025-05-30,475930238.0,,514957203
OPP00002,ACC0018,LEAD00006,E0085,P006,49,2024-11-03,2024-11-30,4-Close,1.0,Won,2024-11-29,74567282.0,,75065453
OPP00003,ACC0005,LEAD00009,E0014,P010,11,2025-02-05,2025-02-23,4-Close,1.0,Won,2025-03-06,35350498.0,,34986182
OPP00004,ACC0029,LEAD00013,E0148,P001,19,2024-01-18,2024-05-24,4-Close,0.0,Lost,2024-05-23,,No Budget,80818305
OPP00005,ACC0031,LEAD00016,E0028,P016,38,2024-09-15,2025-01-03,4-Close,1.0,Won,2025-01-18,399000565.0,,418860097
OPP00006,ACC0012,LEAD00017,E0052,P005,30,2024-10-26,2025-02-11,4-Close,0.0,Lost,2025-02-20,,No Budget,277907766
OPP00007,ACC0064,LEAD00019,E0059,P007,36,2025-06-26,2025-10-02,4-Close,0.0,Lost,2025-10-15,,No Budget,75392654
OPP00008,ACC0025,LEAD00029,E0032,P017,81,2025-03-26,2025-06-18,4-Close,1.0,Won,2025-06-27,863547232.0,,915366240
OPP00009,ACC0003,LEAD00031,E0014,P008,25,2024-11-05,2024-12-04,4-Close,1.0,Won,2024-11-26,56448259.0,,56537320
OPP00010,ACC0009,LEAD00032,E0009,P017,64,2024-01-21,2024-02-27,4-Close,1.0,Won,2024-02-17,675159857.0,,702495169
OPP00011,ACC0047,LEAD00034,E0014,P010,34,2025-08-14,2025-09-15,4-Close,1.0,Won,2025-09-24,101355638.0,,100940341
OPP00012,ACC0051,LEAD00035,E0148,P001,20,2024-03-27,2024-08-17,4-Close,0.0,Lost,2024-08-26,,Went With In-house Supply,82616763
OPP00013,ACC0008,LEAD00036,E0122,P012,13,2025-11-06,2026-01-01,4-Close,0.94,Open,,,,41263606
OPP00014,ACC0060,LEAD00039,E0057,P013,53,2025-09-29,2026-03-27,3-Propose,0.71,Open,,,,501218393
OPP00015,ACC0001,LEAD00040,E0173,P008,15,2024-06-13,2024-07-30,4-Close,1.0,Won,2024-08-10,36493850.0,,35033164
OPP00016,ACC0058,LEAD00041,E0057,P012,51,2025-12-17,2026-01-17,2-Develop,0.36,Open,,,,155821744
OPP00017,ACC0021,LEAD00042,E0059,P014,8,2024-05-15,2024-06-20,4-Close,0.0,Lost,2024-06-28,,No Budget,107137206
OPP00018,ACC0070,LEAD00044,E0100,P001,30,2025-09-28,2025-11-07,4-Close,1.0,Won,2025-11-10,114463082.0,,121769659
OPP00019,ACC0055,LEAD00047,E0028,P010,156,2025-06-03,2025-11-17,4-Close,0.0,Lost,2025-11-29,,Price,471893465
OPP00020,ACC0033,LEAD00055,E0163,P012,36,2025-12-19,2026-01-12,3-Propose,0.6,Open,,,,110233286
OPP00021,ACC0004,LEAD00056,E0018,P013,43,2024-08-01,2024-09-04,4-Close,0.0,Lost,2024-09-14,,Price,407366759
OPP00022,ACC0019,LEAD00057,E0014,P011,71,2025-06-24,2025-07-30,4-Close,1.0,Won,2025-08-06,695472539.0,,696262335
OPP00023,ACC0064,LEAD00058,E0052,P004,70,2025-06-03,2025-09-19,4-Close,1.0,Won,2025-09-29,538710984.0,,553026422
OPP00024,ACC0022,LEAD00059,E0057,P005,23,2024-09-04,2024-10-05,4-Close,0.0,Lost,2024-09-27,,Price,213919047
OPP00025,ACC0019,LEAD00060,E0089,P007,7,2025-08-01,2025-09-09,4-Close,1.0,Won,2025-09-17,13374401.0,,13810773
OPP00026,ACC0051,LEAD00061,E0122,P007,134,2025-05-13,2025-09-09,4-Close,1.0,Won,2025-09-12,269087626.0,,261906005
OPP00027,ACC0070,LEAD00062,E0052,P015,61,2024-08-17,2024-09-10,4-Close,1.0,Won,2024-09-12,1086117913.0,,1068733533
OPP00028,ACC0011,LEAD00063,E0122,P006,29,2024-09-20,2025-02-23,4-Close,0.0,Lost,2025-02-24,,Lost to Competitor,45034034
OPP00029,ACC0040,LEAD00064,E0163,P011,12,2024-04-30,2024-05-30,4-Close,1.0,Won,2024-05-25,104532103.0,,113616527
OPP00030,ACC0054,LEAD00065,E0119,P003,2,2024-11-02,2025-02-19,4-Close,0.0,Lost,2025-03-02,,Went With In-house Supply,11560858
OPP00031,ACC0019,LEAD00070,E0009,P012,7,2024-08-03,2024-09-03,4-Close,1.0,Won,2024-09-09,22558119.0,,23342962
OPP00032,ACC0056,LEAD00072,E0119,P006,18,2024-06-06,2024-07-03,4-Close,0.0,Lost,2024-06-30,,Price,26037359
OPP00033,ACC0010,LEAD00078,E0161,P007,20,2025-01-24,2025-03-04,4-Close,0.0,Lost,2025-03-04,,Price,40113751
OPP00034,ACC0030,LEAD00080,E0028,P007,47,2024-04-11,2024-05-21,4-Close,0.0,Lost,2024-05-23,,Lost to Competitor,95130611
OPP00035,ACC0066,LEAD00086,E0014,P012,19,2025-08-07,2025-09-13,4-Close,1.0,Won,2025-09-15,60877817.0,,64907948
OPP00036,ACC0018,LEAD00087,E0018,P004,53,2024-02-21,2024-03-12,4-Close,1.0,Won,2024-03-18,393129882.0,,390648459
OPP00037,ACC0032,LEAD00089,E0085,P005,7,2024-07-26,2024-08-22,4-Close,1.0,Won,2024-08-23,57862625.0,,61659752
OPP00038,ACC0020,LEAD00090,E0052,P002,99,2024-06-22,2024-07-31,4-Close,0.0,Lost,2024-08-04,,Timing / Postponed,490301540
OPP00039,ACC0042,LEAD00094,E0089,P002,179,2025-10-22,2025-11-30,4-Close,1.0,Won,2025-11-29,865481900.0,,907961476
OPP00040,ACC0013,LEAD00097,E0014,P004,17,2024-12-19,2025-01-26,4-Close,0.0,Lost,2025-01-28,,Lost to Competitor,120467776
OPP00041,ACC0051,LEAD00098,E0089,P006,64,2025-07-04,2025-09-26,4-Close,0.0,Lost,2025-09-24,,Price,96875266
OPP00042,ACC0037,LEAD00102,E0173,P002,14,2025-06-21,2025-07-21,4-Close,0.0,Lost,2025-07-21,,Went With In-house Supply,74947376
