date,line_id,product_id,planned_units,produced_units,scrap_units,downtime_minutes
2024-01-03,L2,P006,15,15,0,51
2024-01-04,L2,P007,15,15,0,30
2024-01-06,L3,P011,28,26,1,39
2024-01-06,L3,P012,11,11,0,18
2024-01-07,L2,P007,15,15,0,31
2024-01-07,L3,P012,24,23,1,39
2024-01-08,L1,P002,18,18,0,11
2024-01-09,L1,P004,31,30,1,37
2024-01-09,L1,P005,13,13,0,10
2024-01-10,L1,P002,30,29,1,31
2024-01-15,L1,P002,30,30,0,37
2024-01-15,L1,P004,31,30,1,16
2024-01-16,L1,P005,17,17,0,0
2024-01-16,L2,P006,15,15,0,9
2024-01-17,L2,P008,15,15,0,50
2024-01-18,L2,P008,15,15,0,19
2024-01-18,L4,P014,24,24,0,23
2024-01-20,L2,P007,15,14,1,29
2024-01-21,L1,P004,23,22,1,41
2024-01-22,L4,P014,24,23,1,29
2024-01-24,L1,P004,31,31,0,36
2024-01-24,L2,P006,15,15,0,34
2024-01-24,L2,P007,12,12,0,55
2024-01-24,L3,P010,28,27,0,47
2024-01-24,L3,P012,28,28,0,30
2024-01-28,L1,P005,15,15,0,9
2024-01-29,L1,P004,20,20,0,7
2024-01-29,L4,P013,24,23,1,12
2024-01-31,L1,P002,8,8,0,29
2024-02-01,L3,P011,7,7,0,37
2024-02-05,L1,P003,9,9,0,61
2024-02-05,L3,P009,13,13,0,42
2024-02-05,L3,P011,28,26,1,56
2024-02-07,L1,P004,15,15,0,1
2024-02-07,L2,P006,15,15,0,48
2024-02-07,L3,P010,28,27,0,44
2024-02-08,L1,P003,31,30,1,15
2024-02-08,L1,P004,31,30,1,10
2024-02-10,L1,P001,17,17,0,29
2024-02-10,L3,P009,28,27,0,50
2024-02-11,L4,P014,7,7,0,44
2024-02-12,L4,P013,17,17,0,36
2024-02-14,L4,P013,24,23,1,15
2024-02-16,L3,P011,28,27,1,12
2024-02-17,L4,P017,24,24,0,0
2024-02-18,L2,P008,7,7,0,34
2024-02-19,L1,P004,31,30,1,4
2024-02-19,L2,P006,15,14,1,29
2024-02-19,L4,P013,20,20,0,19
2024-02-20,L2,P007,15,15,0,30
2024-02-22,L2,P007,12,12,0,27
2024-02-24,L2,P008,15,15,0,48
2024-02-25,L2,P007,15,15,0,3
2024-02-26,L2,P007,15,15,0,8
2024-02-27,L1,P005,31,30,1,0
2024-02-27,L4,P014,6,6,0,10
2024-02-28,L3,P010,24,24,0,12
2024-02-28,L4,P014,9,9,0,0
2024-03-02,L3,P012,22,21,1,18
2024-03-02,L4,P014,24,23,1,12
2024-03-05,L1,P001,31,30,0,51
2024-03-06,L1,P003,16,16,0,33
2024-03-07,L3,P009,12,12,0,4
2024-03-07,L3,P012,11,11,0,39
2024-03-11,L3,P009,18,17,1,19
2024-03-11,L3,P011,28,26,1,35
2024-03-13,L1,P001,31,30,1,8
2024-03-13,L3,P010,28,27,0,87
2024-03-13,L4,P017,24,24,0,21
2024-03-17,L4,P014,24,22,1,49
2024-03-18,L1,P004,31,29,1,48
2024-03-18,L3,P012,8,8,0,23
2024-03-21,L3,P011,28,27,1,10
2024-03-22,L4,P013,24,23,0,51
2024-03-23,L4,P013,21,21,0,41
2024-03-24,L3,P012,28,28,0,0
2024-03-24,L4,P014,9,9,0,5
2024-03-25,L3,P009,17,16,1,22
2024-03-26,L1,P004,31,31,0,20
2024-03-28,L1,P002,31,30,1,36
2024-03-30,L2,P006,15,15,0,26
2024-03-30,L4,P015,24,24,0,32
2024-04-01,L3,P010,28,27,1,20
2024-04-03,L1,P001,31,30,1,17
2024-04-07,L4,P014,24,23,1,30
2024-04-09,L2,P008,15,15,0,18
2024-04-09,L4,P017,24,24,0,24
2024-04-13,L1,P003,11,11,0,36
2024-04-18,L1,P001,31,29,1,79
2024-04-18,L4,P016,24,23,1,19
2024-04-19,L3,P010,6,6,0,51
2024-04-23,L3,P012,15,15,0,30
2024-04-27,L2,P007,15,15,0,37
2024-04-29,L2,P007,15,15,0,0
2024-04-30,L1,P001,31,31,0,0
2024-05-01,L3,P009,9,9,0,49
2024-05-01,L4,P015,24,24,0,24
2024-05-02,L1,P004,19,19,0,9
2024-05-04,L3,P012,11,11,0,0
2024-05-05,L4,P014,24,22,1,43
2024-05-05,L4,P016,12,12,0,13
2024-05-06,L3,P011,8,8,0,2
2024-05-07,L4,P016,18,18,0,0
2024-05-08,L2,P006,15,15,0,25
2024-05-09,L3,P012,10,10,0,34
2024-05-09,L4,P015,20,20,0,24
2024-05-10,L1,P002,30,29,1,24
2024-05-11,L4,P015,24,22,1,47
2024-05-12,L3,P011,20,19,1,0
2024-05-13,L1,P001,31,30,1,21
2024-05-13,L2,P007,15,15,0,33
2024-05-15,L1,P001,22,22,0,15
2024-05-15,L3,P011,28,27,1,29
2024-05-16,L1,P002,31,30,1,37
2024-05-16,L2,P006,15,15,0,28
2024-05-16,L3,P012,28,27,1,9
2024-05-17,L1,P002,31,30,1,0
2024-05-17,L2,P006,10,10,0,19
2024-05-17,L2,P007,15,15,0,43
2024-05-17,L3,P011,28,27,1,0
2024-05-18,L1,P002,16,16,0,27
2024-05-18,L1,P005,31,30,1,10
2024-05-19,L2,P007,15,15,0,52
2024-05-23,L3,P010,13,13,0,46
2024-05-24,L3,P012,25,25,0,10
2024-05-25,L3,P011,28,27,0,62
2024-05-26,L1,P002,31,30,1,13
2024-05-27,L1,P003,18,18,0,36
2024-05-27,L3,P012,7,7,0,32
2024-05-27,L4,P013,18,17,1,38
2024-05-28,L3,P009,28,28,0,4
2024-05-28,L3,P010,25,24,1,31
2024-05-29,L1,P003,8,8,0,34
2024-05-29,L2,P007,15,15,0,17
2024-05-31,L1,P005,31,29,1,49
2024-06-03,L1,P004,31,31,0,15
2024-06-05,L4,P017,24,23,1,24
2024-06-06,L1,P003,22,22,0,0
2024-06-08,L2,P007,15,14,1,33
2024-06-09,L1,P003,13,13,0,37
2024-06-09,L3,P009,18,18,0,25
2024-06-11,L2,P006,12,12,0,0
2024-06-11,L4,P014,24,24,0,27
2024-06-13,L1,P005,10,10,0,16
2024-06-13,L3,P009,25,25,0,0
2024-06-13,L4,P016,24,22,1,68
2024-06-14,L3,P010,28,28,0,12
2024-06-15,L1,P001,31,30,1,39
