po_id,material_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity,unit_cost_irr,status
PO00001,M01,SUP01,2024-01-01,2024-01-11,2024-01-10,2244.7,620000,Delivered
PO00002,M01,SUP01,2024-02-08,2024-02-18,2024-02-18,2244.7,620000,Delivered
PO00003,M01,SUP01,2024-03-24,2024-04-03,2024-04-02,2244.7,620000,Delivered
PO00004,M01,SUP01,2024-05-16,2024-05-26,2024-05-26,2244.7,620000,Delivered
PO00005,M01,SUP01,2024-06-23,2024-07-03,2024-07-01,2244.7,620000,Delivered
PO00006,M01,SUP01,2024-07-31,2024-08-10,2024-08-09,2244.7,620000,Delivered
PO00007,M01,SUP01,2024-08-29,2024-09-08,2024-09-06,2244.7,620000,Delivered
PO00008,M01,SUP01,2024-10-05,2024-10-15,2024-10-13,2244.7,620000,Delivered
PO00009,M01,SUP01,2024-11-23,2024-12-03,2024-12-07,2244.7,620000,Delivered
PO00010,M01,SUP01,2024-12-25,2025-01-04,2025-01-05,2244.7,620000,Delivered
PO00011,M01,SUP01,2025-01-26,2025-02-05,2025-02-03,2244.7,620000,Delivered
PO00012,M01,SUP01,2025-03-12,2025-03-22,2025-03-20,2244.7,620000,Delivered
PO00013,M01,SUP01,2025-04-11,2025-04-21,2025-04-20,2244.7,620000,Delivered
PO00014,M01,SUP01,2025-05-16,2025-05-26,2025-05-25,2244.7,620000,Delivered
PO00015,M01,SUP01,2025-06-24,2025-07-04,2025-07-03,2244.7,620000,Delivered
PO00016,M01,SUP01,2025-07-23,2025-08-02,2025-07-31,2244.7,620000,Delivered
PO00017,M01,SUP01,2025-08-26,2025-09-05,2025-09-02,2244.7,620000,Delivered
PO00018,M01,SUP01,2025-10-03,2025-10-13,2025-10-12,2244.7,620000,Delivered
PO00019,M01,SUP01,2025-11-02,2025-11-12,2025-11-12,2244.7,620000,Delivered
PO00020,M01,SUP01,2025-11-28,2025-12-08,2025-12-09,2244.7,620000,Delivered
PO00021,M02,SUP01,2024-01-01,2024-01-11,2024-01-11,1481.5,580000,Delivered
PO00022,M02,SUP01,2024-02-05,2024-02-15,2024-02-15,1481.5,580000,Delivered
PO00023,M02,SUP01,2024-03-21,2024-03-31,2024-03-30,1481.5,580000,Delivered
PO00024,M02,SUP01,2024-05-09,2024-05-19,2024-05-19,1481.5,580000,Delivered
PO00025,M02,SUP01,2024-06-11,2024-06-21,2024-06-21,1481.5,580000,Delivered
PO00026,M02,SUP01,2024-07-04,2024-07-14,2024-07-16,1481.5,580000,Delivered
PO00027,M02,SUP01,2024-08-06,2024-08-16,2024-08-17,1481.5,580000,Delivered
PO00028,M02,SUP01,2024-09-07,2024-09-17,2024-09-18,1481.5,580000,Delivered
PO00029,M02,SUP01,2024-10-07,2024-10-17,2024-10-17,1481.5,580000,Delivered
PO00030,M02,SUP01,2024-11-23,2024-12-03,2024-12-02,1481.5,580000,Delivered
PO00031,M02,SUP01,2024-12-24,2025-01-03,2025-01-04,1481.5,580000,Delivered
PO00032,M02,SUP01,2025-01-16,2025-01-26,2025-01-23,1481.5,580000,Delivered
PO00033,M02,SUP01,2025-02-19,2025-03-01,2025-02-28,1481.5,580000,Delivered
PO00034,M02,SUP01,2025-03-27,2025-04-06,2025-04-03,1481.5,580000,Delivered
PO00035,M02,SUP01,2025-04-27,2025-05-07,2025-05-05,1481.5,580000,Delivered
PO00036,M02,SUP01,2025-05-31,2025-06-10,2025-06-11,1481.5,580000,Delivered
PO00037,M02,SUP01,2025-07-01,2025-07-11,2025-07-11,1481.5,580000,Delivered
PO00038,M02,SUP01,2025-07-27,2025-08-06,2025-08-06,1481.5,580000,Delivered
PO00039,M02,SUP01,2025-08-24,2025-09-03,2025-09-02,1481.5,580000,Delivered
PO00040,M02,SUP01,2025-09-30,2025-10-10,2025-10-10,1481.5,580000,Delivered
PO00041,M02,SUP01,2025-10-29,2025-11-08,2025-11-09,1481.5,580000,Delivered
PO00042,M02,SUP01,2025-11-21,2025-12-01,2025-12-02,1481.5,580000,Delivered
PO00043,M02,SUP01,2025-12-18,2025-12-28,2025-12-27,1481.5,580000,Delivered
PO00044,M03,SUP02,2024-01-01,2024-01-07,2024-01-05,718.3,42000,Delivered
PO00045,M03,SUP02,2024-01-29,2024-02-04,2024-02-02,718.3,42000,Delivered
PO00046,M03,SUP02,2024-03-05,2024-03-11,2024-03-13,718.3,42000,Delivered
PO00047,M03,SUP02,2024-04-01,2024-04-07,2024-04-06,718.3,42000,Delivered
PO00048,M03,SUP02,2024-05-11,2024-05-17,2024-05-16,718.3,42000,Delivered
PO00049,M03,SUP02,2024-06-03,2024-06-09,2024-06-07,718.3,42000,Delivered
PO00050,M03,SUP02,2024-06-23,2024-06-29,2024-06-27,718.3,42000,Delivered
PO00051,M03,SUP02,2024-07-14,2024-07-20,2024-07-23,718.3,42000,Delivered
PO00052,M03,SUP02,2024-08-06,2024-08-12,2024-08-14,718.3,42000,Delivered
PO00053,M03,SUP02,2024-08-29,2024-09-04,2024-09-01,718.3,42000,Delivered
PO00054,M03,SUP02,2024-09-19,2024-09-25,2024-09-23,718.3,42000,Delivered
PO00055,M03,SUP02,2024-10-21,2024-10-27,2024-10-24,718.3,42000,Delivered
PO00056,M03,SUP02,2024-11-23,2024-11-29,2024-11-28,718.3,42000,Delivered
PO00057,M03,SUP02,2024-12-17,2024-12-23,2024-12-27,718.3,42000,Delivered
PO00058,M03,SUP02,2024-12-30,2025-01-05,2025-01-03,718.3,42000,Delivered
PO00059,M03,SUP02,2025-01-21,2025-01-27,2025-01-28,718.3,42000,Delivered
PO00060,M03,SUP02,2025-02-08,2025-02-14,2025-02-16,718.3,42000,Delivered
PO00061,M03,SUP02,2025-03-14,2025-03-20,2025-03-20,718.3,42000,Delivered
PO00062,M03,SUP02,2025-04-04,2025-04-10,2025-04-11,718.3,42000,Delivered
PO00063,M03,SUP02,2025-04-27,2025-05-03,2025-05-03,718.3,42000,Delivered
PO00064,M03,SUP02,2025-05-20,2025-05-26,2025-05-24,718.3,42000,Delivered
PO00065,M03,SUP02,2025-06-15,2025-06-21,2025-06-18,718.3,42000,Delivered
PO00066,M03,SUP02,2025-07-07,2025-07-13,2025-07-14,718.3,42000,Delivered
PO00067,M03,SUP02,2025-07-23,2025-07-29,2025-07-28,718.3,42000,Delivered
PO00068,M03,SUP02,2025-08-13,2025-08-19,2025-08-19,718.3,42000,Delivered
PO00069,M03,SUP02,2025-09-03,2025-09-09,2025-09-10,718.3,42000,Delivered
PO00070,M03,SUP02,2025-09-30,2025-10-06,2025-10-06,718.3,42000,Delivered
PO00071,M03,SUP02,2025-10-22,2025-10-28,2025-10-30,718.3,42000,Delivered
PO00072,M03,SUP02,2025-11-08,2025-11-14,2025-11-10,718.3,42000,Delivered
PO00073,M03,SUP02,2025-11-23,2025-11-29,2025-11-30,718.3,42000,Delivered
