order_id,order_source,account_id,product_id,order_date,quantity,unit_price_irr,revenue_irr
ORD000033,Repeat,ACC0006,P006,2024-01-03,14,1387669,19427374
ORD000134,Repeat,ACC0023,P007,2024-01-04,19,1933363,36733900
ORD000209,Repeat,ACC0035,P007,2024-01-04,20,1961176,39223535
ORD000305,Repeat,ACC0047,P012,2024-01-06,10,3220927,32209274
ORD000399,Repeat,ACC0063,P011,2024-01-06,55,9770297,537366381
ORD000394,Repeat,ACC0062,P012,2024-01-07,22,3118364,68604026
ORD000023,Repeat,ACC0004,P007,2024-01-07,15,1870638,28059580
ORD000249,Repeat,ACC0039,P002,2024-01-08,16,5180360,82885765
ORD000334,Repeat,ACC0050,P005,2024-01-09,12,8735002,104820032
ORD000282,Repeat,ACC0043,P004,2024-01-09,44,7460647,328268506
ORD000250,Repeat,ACC0039,P002,2024-01-10,27,4986634,134639120
ORD000403,Repeat,ACC0065,P004,2024-01-15,35,7126113,249413967
ORD000195,Repeat,ACC0033,P002,2024-01-15,27,5174555,139712985
ORD000109,Repeat,ACC0019,P005,2024-01-16,15,8249474,123742121
ORD000216,Repeat,ACC0036,P006,2024-01-16,57,1427477,81366225
ORD000441,Repeat,ACC0070,P008,2024-01-17,17,2410613,40980427
ORD000400,Repeat,ACC0063,P014,2024-01-18,155,12269880,1901831507
ORD000816,CRM Won,ACC0035,P008,2024-01-18,21,2100850,44117844
ORD000196,Repeat,ACC0033,P007,2024-01-20,22,1982630,43617878
ORD000363,Repeat,ACC0058,P004,2024-01-21,21,7270436,152679170
ORD000315,Repeat,ACC0048,P014,2024-01-22,23,12729587,292780505
ORD000335,Repeat,ACC0050,P007,2024-01-24,11,1938985,21328839
ORD000425,Repeat,ACC0067,P006,2024-01-24,27,1459182,39397938
ORD000024,Repeat,ACC0004,P012,2024-01-24,19,3052741,58002082
ORD000148,Repeat,ACC0025,P012,2024-01-24,116,3258867,378028620
ORD000034,Repeat,ACC0006,P004,2024-01-24,44,7044226,309945945
ORD000078,Repeat,ACC0015,P010,2024-01-24,26,2935071,76311863
ORD000260,Repeat,ACC0040,P005,2024-01-28,13,8221838,106883894
ORD000187,Repeat,ACC0032,P013,2024-01-29,28,9160764,256501412
ORD000306,Repeat,ACC0047,P004,2024-01-29,18,7214335,129858041
ORD000275,Repeat,ACC0042,P002,2024-01-31,7,5081706,35571944
ORD000089,Repeat,ACC0016,P011,2024-02-01,6,9974000,59844002
ORD000102,Repeat,ACC0018,P003,2024-02-05,8,5685402,45483221
ORD000307,Repeat,ACC0047,P009,2024-02-05,12,1583526,19002319
ORD000060,Repeat,ACC0011,P011,2024-02-05,95,9840650,934861752
ORD000404,Repeat,ACC0065,P004,2024-02-07,13,7272108,94537404
ORD000364,Repeat,ACC0058,P006,2024-02-07,19,1391033,26429632
ORD000173,Repeat,ACC0029,P010,2024-02-07,275,2884892,793345443
ORD000301,Repeat,ACC0046,P003,2024-02-08,37,5920817,219070247
ORD000298,Repeat,ACC0045,P004,2024-02-08,102,7538158,768892130
ORD000698,CRM Won,ACC0048,P009,2024-02-10,46,1654426,76103616
ORD000817,CRM Won,ACC0006,P001,2024-02-10,15,4465629,66984429
ORD000121,Repeat,ACC0021,P014,2024-02-11,6,12443862,74663173
ORD000127,Repeat,ACC0022,P013,2024-02-12,15,9178059,137670892
ORD000188,Repeat,ACC0032,P013,2024-02-14,26,9433321,245266352
ORD000747,CRM Won,ACC0053,P011,2024-02-16,35,11042471,386486472
ORD000453,CRM Won,ACC0009,P017,2024-02-17,64,10549373,675159857
ORD000567,CRM Won,ACC0042,P008,2024-02-18,6,2303044,13818263
ORD000238,Repeat,ACC0038,P006,2024-02-19,20,1463972,29279459
ORD000405,Repeat,ACC0065,P004,2024-02-19,29,7536642,218562643
ORD000128,Repeat,ACC0022,P013,2024-02-19,18,9467324,170411840
ORD000268,Repeat,ACC0041,P007,2024-02-20,17,1908146,32438493
ORD000734,CRM Won,ACC0070,P007,2024-02-22,11,1942855,21371408
ORD000129,Repeat,ACC0022,P008,2024-02-24,19,2308446,43860484
ORD000637,CRM Won,ACC0001,P007,2024-02-25,33,1859699,61370082
ORD000786,CRM Won,ACC0021,P007,2024-02-26,93,1960837,182357800
ORD000289,Repeat,ACC0044,P005,2024-02-27,68,8767001,596156106
ORD000276,Repeat,ACC0042,P014,2024-02-27,5,12509642,62548213
ORD000660,CRM Won,ACC0017,P010,2024-02-28,22,2877901,63313828
ORD000277,Repeat,ACC0042,P014,2024-02-28,8,11903410,95227283
ORD000646,CRM Won,ACC0010,P014,2024-03-02,14,13202461,184834453
ORD000696,CRM Won,ACC0018,P014,2024-03-02,81,12337880,999368265
ORD000067,Repeat,ACC0013,P012,2024-03-02,20,3229133,64582668
ORD000144,Repeat,ACC0024,P001,2024-03-05,183,4047409,740675945
ORD000316,Repeat,ACC0048,P003,2024-03-06,14,6016034,84224488
ORD000135,Repeat,ACC0023,P012,2024-03-07,10,3261930,32619300
ORD000154,Repeat,ACC0026,P009,2024-03-07,11,1623259,17855854
ORD000170,Repeat,ACC0028,P011,2024-03-11,102,10041821,1024265822
ORD000317,Repeat,ACC0048,P009,2024-03-11,16,1685737,26971805
ORD000205,Repeat,ACC0034,P001,2024-03-13,47,4185237,196706146
ORD000343,Repeat,ACC0053,P010,2024-03-13,30,2903782,87113466
ORD000560,CRM Won,ACC0019,P017,2024-03-13,68,12035971,818446009
ORD000802,CRM Won,ACC0040,P014,2024-03-17,32,13000821,416026272
